Field,Value
Applicant Full Legal Name,Konstantinos Stavros
Family Name (Last Name),Stavros
Given Name (First Name),Konstantinos
Date of Birth,04/12/1957
Sex,Male
Country of Birth,Greece
Country of Citizenship,Greece
A-Number,A-207115634
Social Security Number,148-92-7350
Height,"5' 8"""
Weight,176 lbs
Eye Color,Brown
Hair Color,Gray
Ethnicity,Not Hispanic or Latino
Race,White
Date First Entered the U.S.,05/14/2011
Date Became a Permanent Resident,01/23/2020
Green Card Category,IR5
Daytime Telephone,(973) 555-0155
Mobile Telephone,(973) 555-0155
Email Address,k.stavros@quillmail.com
Current Home Address (as of this sheet),"231 Ridgeline Avenue, Bloomfield, NJ 07003"
State of Residence,New Jersey
Marital Status,Widowed
Number of Times Married,1
Spouse's Name (deceased),Eleni Stavros
Date of Marriage,09/05/1982
How Marriage Ended,Death of spouse
Date Marriage Ended,11/03/2019
Father's Name,Georgios Stavros (deceased)
Mother's Name,Despina Stavros (deceased)
Employer 1,"Bellwether Baking Company — Baker — Bloomfield, NJ — 03/07/2016 to 06/30/2023"
Employer 2,"Retired — Montclair, NJ — 07/01/2023 to present"
Ever committed a crime for which you were NOT arrested?,No
"Ever arrested, cited, detained, or charged by any official?",No
"Ever placed in removal, rescission, or deportation proceedings?","Yes — see the separate email explaining 2015-2018, it's a longer story"
Ever removed or deported from the United States?,No
Male who lived in the U.S. between his 18th and 26th birthdays?,No (he first arrived at 54)
Requesting a reduced filing fee?,No
Travel Trip 1,Depart 11/02/2025 / Return 11/20/2025 / Greece / 19 day(s)
Travel Trip 2,Depart 04/10/2025 / Return 04/28/2025 / Greece / 19 day(s)
Travel Trip 3,Depart 09/05/2024 / Return 09/22/2024 / Greece / 18 day(s)
Travel Trip 4,Depart 01/15/2024 / Return 01/30/2024 / Greece / 16 day(s)
Travel Trip 5,Depart 06/01/2023 / Return 06/20/2023 / Greece / 20 day(s)
Travel Trip 6,Depart 10/10/2022 / Return 10/25/2022 / Greece / 16 day(s)
Travel Trip 7,Depart 03/01/2022 / Return 03/15/2022 / Greece / 15 day(s)
Travel Trip 8,Depart 08/01/2021 / Return 08/18/2021 / Greece / 18 day(s)
Travel Trip 9,Depart 08/12/2023 / Return 08/12/2023 / Canada / 1 day(s) / Same-day trip to Niagara Falls / across into Canada and back
